"tomatometer_rating","movie_title","tomatometer_count","genre"
100,The Ladykillers,23,"Art House & International, Classics, Comedy, Drama, Mystery & Suspense"
100,The Letter,13,"Classics, Drama"
100,The Lost Patrol,6,"Action & Adventure, Classics, Drama"
100,The Maltese Falcon,55,"Drama, Mystery & Suspense"
100,The Miracle Worker,23,"Classics, Drama"
100,The Narrow Margin,10,"Classics, Drama, Mystery & Suspense"
100,The Odd Couple,34,"Classics, Comedy, Drama"
100,The Old Dark House,23,"Classics, Comedy, Horror, Mystery & Suspense"
100,The Prisoner of Zenda,9,"Action & Adventure, Classics, Drama"
100,The Prowler (Cost of Living ),17,"Drama, Mystery & Suspense"
100,The Public Enemy,30,"Action & Adventure, Classics, Drama, Musical & Performing Arts"
100,The Sea Hawk,12,"Action & Adventure, Classics, Drama, Romance"
100,The Shooting,16,"Action & Adventure, Classics, Drama, Western"
100,The Yearling,14,"Classics, Kids & Family"
100,Them!,27,"Classics, Horror, Science Fiction & Fantasy"
100,Thirst,5,"Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy"
100,Three Colors: Red (Trois couleurs: Rouge),52,"Art House & International, Drama, Romance"
100,Three Idiots,13,"Comedy, Drama"
100,Treasure Island,6,"Action & Adventure, Classics"
100,Treasure Island,6,"Action & Adventure, Classics, Kids & Family"
100,Uprising,6,Drama
100,Winchester '73,21,"Classics, Western"
99,"20 Feet From Stardom",125,"Documentary, Musical & Performing Arts"
99,"56 Up",68,"Documentary, Special Interest"
99,A Separation,172,"Art House & International, Drama"
99,Aliens,72,"Action & Adventure, Horror, Science Fiction & Fantasy"
98,"101 Dalmatians",48,"Animation, Classics, Comedy, Kids & Family, Mystery & Suspense"
98,"8 1/2",48,"Art House & International, Drama, Science Fiction & Fantasy"
98,A Star Is Born,40,"Classics, Drama, Musical & Performing Arts"
98,A Streetcar Named Desire,56,"Classics, Drama"
98,Assault on Precinct 13,42,"Action & Adventure, Drama, Mystery & Suspense"
98,Casablanca,83,"Classics, Drama, Romance"
98,Hairspray,42,"Comedy, Drama, Musical & Performing Arts"
98,Invasion of the Body Snatchers,56,"Classics, Mystery & Suspense, Science Fiction & Fantasy"
98,King Kong,60,"Action & Adventure, Classics, Horror"
98,Metropolis,124,"Action & Adventure, Art House & International, Classics, Drama, Science Fiction & Fantasy"
98,Snow White and the Seven Dwarfs,50,"Animation, Classics, Kids & Family, Science Fiction & Fantasy"
98,The Lady Vanishes,43,"Classics, Mystery & Suspense"
97,"45 Years",203,Drama
97,"51 Birch Street",36,"Documentary, Special Interest"
97,"7 Boxes",30,"Action & Adventure, Art House & International, Mystery & Suspense"
97,A Little Princess,34,"Drama, Kids & Family"
